Transaction ID,Timestamp,Sender Account ID,Receiver Account ID,Amount,Type,Device ID,IP Address,Location,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation
T0042,1/5/25 10:51,A24249,B20872,208.62,Withdrawal,D328,10.135.92.35,California,2003.52,0,1,0,1,0
T0043,1/2/25 17:31,A56825,B58086,3708.97,Deposit,D745,152.166.97.110,Texas,2607.98,0,1,0,1,0
T0044,1/2/25 12:15,A34600,B76770,7458.26,Transfer,D343,95.61.104.214,California,2982.56,0,1,0,1,0
T0045,1/1/25 0:45,A47706,B93514,1728.38,Deposit,D164,148.146.152.86,California,3681,0,1,0,1,0
T0046,1/2/25 10:24,A29222,B98177,6058.92,Transfer,D336,210.132.126.82,New York,1767.55,0,1,0,0,0
T0047,1/6/25 5:39,A51139,B44720,2888.99,Deposit,D102,226.11.102.152,California,3225.68,1,0,0,1,1
T0048,1/1/25 18:15,A51302,B28079,7970.13,Withdrawal,D599,4.75.154.3,California,3914.57,0,0,0,1,0
T0049,1/2/25 12:06,A97838,B27338,7984.16,Deposit,D136,115.82.172.174,Texas,1964.73,0,1,0,1,0
T0050,1/1/25 23:30,A78159,B13291,7754.37,Transfer,D720,215.105.155.224,Florida,2404.85,0,0,0,1,0
T0051,1/5/25 23:09,A18646,B84084,5248.81,Transfer,D349,34.241.143.139,New York,1820.47,0,1,0,0,0
T0052,1/5/25 9:58,A23543,B59393,2846.38,Deposit,D102,79.74.42.27,New York,1444.13,0,0,0,1,0
T0053,1/1/25 18:43,A32785,B79770,8094.63,Transfer,D334,214.245.237.80,Florida,4024.82,0,1,0,0,0
T0054,1/4/25 16:37,A88353,B36720,1861.82,Withdrawal,D516,18.202.195.73,Florida,1960.25,0,1,0,0,0
T0055,1/4/25 19:22,A41406,B23368,2898.31,Deposit,D350,122.54.82.163,Florida,2470.27,0,0,0,1,0
T0056,1/1/25 8:45,A98992,B64313,1840.29,Transfer,D242,61.106.166.115,California,1990.75,1,1,0,1,0
T0057,1/5/25 9:06,A61428,B57969,6742.43,Deposit,D859,40.187.254.85,Texas,1175.3,0,1,0,1,0
T0058,1/4/25 3:58,A33777,B58838,6862.67,Deposit,D155,65.186.96.167,New York,3915.96,0,0,1,0,0
T0059,1/4/25 20:00,A67939,B18734,6525.45,Deposit,D160,218.18.54.111,Texas,3573.32,0,1,1,1,0
T0060,1/1/25 1:04,A63026,B22197,4156.6,Deposit,D167,45.3.210.189,California,2904.5,1,1,0,0,0
T0061,1/1/25 11:33,A96450,B78895,1002.61,Deposit,D178,24.62.245.245,Florida,3697.34,0,1,0,1,0
T0062,1/6/25 15:58,A39553,B66831,9111.78,Withdrawal,D426,197.110.12.253,California,4386,0,1,0,0,0
T0063,1/3/25 23:20,A33548,B68073,5077.8,Deposit,D466,114.85.3.1,Florida,3473.85,0,1,0,0,0
T0064,1/6/25 11:27,A73221,B82925,4070.31,Withdrawal,D807,66.109.29.131,New York,4627.14,0,1,0,1,0
T0065,1/5/25 1:04,A47265,B90488,5888.66,Deposit,D806,47.42.92.172,California,1805.98,0,1,0,0,0
T0066,1/2/25 15:21,A50701,B94475,1928.71,Transfer,D634,224.140.46.230,Texas,4533.43,0,1,0,1,0
T0067,1/4/25 3:15,A61287,B60302,1326.36,Deposit,D625,223.27.36.27,Texas,3166.14,0,1,0,1,0
T0068,1/3/25 18:38,A16727,B25624,4055.85,Deposit,D489,154.216.157.133,California,4366.5,0,1,0,1,0
T0069,1/3/25 18:33,A60717,B77271,2272.98,Transfer,D388,221.119.8.133,California,3975.24,0,1,0,1,0
T0070,1/3/25 8:57,A42427,B34315,2443.66,Withdrawal,D620,156.214.69.85,Texas,1230.56,0,1,0,1,0
T0071,1/3/25 0:21,A26692,B27422,8925.22,Withdrawal,D751,65.94.180.69,California,4351.18,0,1,0,1,0
T0072,1/3/25 9:40,A41625,B49137,5308.06,Withdrawal,D853,233.4.19.139,California,2349.15,0,1,0,0,1
T0073,1/5/25 19:51,A34918,B82663,4835.21,Withdrawal,D352,101.101.135.119,California,2692.54,0,1,0,0,1
T0074,1/1/25 18:55,A51136,B58232,6895.11,Transfer,D838,185.48.63.177,Florida,1044.3,0,1,0,1,0
T0075,1/3/25 22:13,A62409,B88142,9515.53,Withdrawal,D984,234.96.249.38,Texas,4034.89,0,1,0,1,0
T0076,1/2/25 10:30,A25577,B42743,1122.87,Withdrawal,D194,39.30.2.210,California,2867.83,0,1,0,1,0
T0077,1/3/25 21:59,A95155,B25636,8335.51,Withdrawal,D790,239.246.71.29,Texas,4758.47,0,1,0,0,0
T0078,1/5/25 10:11,A91731,B20108,5840.61,Withdrawal,D102,94.28.197.55,New York,2123.99,0,1,0,1,0
T0079,1/2/25 18:55,A37689,B83634,1462.51,Withdrawal,D795,193.86.107.62,California,2984.29,0,0,0,1,1
T0080,1/5/25 11:21,A21154,B46180,2972.2,Deposit,D145,29.52.229.45,Florida,2644.54,0,1,0,0,0
T0081,1/1/25 13:29,A31341,B28883,4824.13,Deposit,D903,102.136.6.62,Florida,4168.44,0,1,0,1,0
T0082,1/3/25 23:15,A84681,B54400,6912.08,Withdrawal,D752,174.43.250.176,California,3142.57,1,1,0,1,1
T0083,1/4/25 5:35,A56330,B55999,2426.83,Transfer,D624,78.206.212.189,California,2839.51,0,1,0,0,0
T0084,1/5/25 7:30,A97759,B57951,5349.25,Transfer,D797,58.205.202.74,New York,4787.28,0,1,0,1,0
T0085,1/2/25 5:35,A78416,B17160,6847.03,Deposit,D581,83.12.236.157,California,2511.77,0,0,0,1,0
T0086,1/1/25 22:14,A96807,B65262,4487.96,Transfer,D696,103.102.83.108,Texas,2960.08,0,1,0,0,0
T0087,1/4/25 10:47,A43313,B29929,8630.4,Deposit,D517,42.178.101.7,California,3216.56,0,0,0,1,0
T0088,1/6/25 14:48,A56900,B93133,8694.72,Withdrawal,D142,242.36.105.96,Texas,1215.46,1,1,0,0,1
T0089,1/6/25 7:52,A88840,B21123,4707.44,Withdrawal,D995,89.107.249.119,Texas,3106.05,0,1,0,1,0
T0090,1/3/25 7:42,A44695,B38357,9729.28,Transfer,D767,191.38.135.61,Texas,2343.2,0,1,0,1,0
T0091,1/6/25 14:04,A40225,B80496,756.78,Transfer,D795,209.38.141.51,Texas,3600.99,0,1,0,1,1
T0092,1/4/25 6:13,A96072,B43556,34.62,Transfer,D658,209.56.148.22,Texas,3574.5,1,1,0,1,1
T0093,1/6/25 7:42,A59156,B93791,3807.3,Withdrawal,D305,131.201.170.138,California,3845.19,0,0,0,1,0
T0094,1/3/25 9:51,A87209,B71934,6011.37,Withdrawal,D821,83.18.64.94,California,2596.6,1,0,0,0,0
T0095,1/3/25 18:43,A97453,B88886,6292.37,Transfer,D374,129.104.176.196,California,1419.15,0,1,0,0,0
T0096,1/4/25 22:44,A37829,B40881,4764.98,Transfer,D694,161.3.218.38,Florida,2756.61,0,1,0,1,0
T0097,1/4/25 15:32,A90908,B28409,1249.71,Transfer,D196,244.48.130.153,Texas,3208.75,0,1,0,1,1
T0098,1/2/25 23:43,A35938,B65416,1705.8,Transfer,D278,40.64.121.243,New York,1099.4,1,0,0,1,0
T0099,1/4/25 3:30,A69164,B77982,8521.63,Deposit,D966,244.143.185.34,California,3189.45,0,0,0,0,0
T0100,1/6/25 1:56,A64530,B40657,8679.24,Transfer,D247,210.143.32.158,California,2597.11,0,1,0,0,1
T0101,1/6/25 9:20,A78199,B96743,6739.31,Transfer,D896,149.60.107.211,Florida,2913.83,0,0,0,0,1
T0102,1/3/25 8:11,A70282,B58951,6642.52,Deposit,D483,191.247.197.162,California,2213.34,0,1,0,0,0
T0103,1/3/25 6:39,A57801,B18752,5977.22,Deposit,D171,251.38.130.95,Texas,2968.56,0,1,0,0,0
T0104,1/1/25 10:17,A19465,B23440,2030.06,Deposit,D316,140.239.13.168,California,4527.36,0,0,0,1,0
T0105,1/3/25 13:59,A13326,B54864,4283.08,Deposit,D820,135.110.18.108,Texas,4151.4,0,1,0,0,0
T0106,1/2/25 3:34,A13659,B59691,6959.25,Transfer,D932,141.202.177.98,California,3464.18,0,1,0,1,0
T0107,1/5/25 22:17,A70289,B82035,5372.99,Withdrawal,D905,60.163.66.216,California,3506.31,0,1,0,0,0
T0108,1/1/25 3:12,A37594,B96675,186.78,Withdrawal,D532,76.207.91.44,Texas,4581.56,0,1,0,1,0
T0109,1/6/25 15:31,A14763,B90303,9535.61,Withdrawal,D735,90.201.209.71,Texas,2918.78,0,1,0,0,0
T0110,1/1/25 11:13,A98657,B32343,8448.32,Withdrawal,D600,134.112.21.101,California,3157.39,0,1,1,1,1
T0111,1/3/25 23:35,A20828,B29673,2606.19,Withdrawal,D961,238.136.59.41,Texas,4440.71,0,1,0,1,0
T0112,1/5/25 2:12,A57588,B69954,6164.97,Withdrawal,D767,58.167.230.28,Florida,4018.87,0,1,0,0,0
T0113,1/4/25 1:06,A21221,B64698,9232.47,Deposit,D132,182.191.100.113,Texas,2732.24,0,1,0,1,0
T0114,1/6/25 14:10,A21211,B36520,961.01,Deposit,D880,111.238.41.28,Texas,2221.05,0,1,0,0,0
T0115,1/1/25 15:26,A23569,B25784,5030.79,Withdrawal,D315,219.20.96.190,New York,3071.27,0,1,1,1,0
T0116,1/3/25 13:21,A47860,B48079,4562.97,Transfer,D200,122.62.217.37,Texas,1482.44,0,1,1,1,0
T0117,1/1/25 6:27,A81558,B54220,4102.64,Transfer,D569,206.193.139.32,Texas,3721.75,0,1,0,1,0
T0118,1/1/25 6:45,A55337,B30491,8356.05,Withdrawal,D279,206.236.0.224,New York,2857.79,0,1,0,1,1
T0119,1/6/25 9:48,A62311,B58720,3807.08,Transfer,D738,195.27.189.244,Texas,3379.95,0,1,0,1,0
T0120,1/1/25 22:59,A23515,B24718,637.57,Deposit,D432,77.116.58.48,New York,4384.8,0,1,0,1,0
T0121,1/1/25 2:34,A81695,B45597,659.31,Deposit,D587,44.203.122.133,California,2425.28,0,1,0,0,0
T0122,1/5/25 0:55,A97227,B71217,428.4,Transfer,D559,114.19.239.84,California,2988.67,0,1,0,1,0
T0123,1/4/25 4:12,A34904,B36832,4092.05,Withdrawal,D476,143.139.252.51,Florida,3222.76,0,1,0,1,0
T0124,1/3/25 6:06,A69935,B64818,7184.34,Deposit,D780,147.185.172.96,California,2120.7,0,0,0,1,0
T0125,1/3/25 12:30,A53790,B22864,2038.02,Transfer,D916,113.1.33.25,Texas,2099.34,0,1,1,1,0
T0126,1/6/25 0:05,A78580,B98378,6465.04,Transfer,D977,160.169.93.247,New York,3104.89,0,1,0,1,0
T0127,1/5/25 15:36,A85148,B18177,6871.2,Deposit,D234,64.109.7.64,California,2028.65,1,1,0,0,0
T0128,1/6/25 23:29,A15636,B56115,2552.77,Deposit,D903,109.137.31.50,Texas,4444.81,0,1,0,1,0
T0129,1/3/25 17:43,A87129,B66210,6005.98,Withdrawal,D704,184.167.65.30,California,4979.5,1,1,0,1,0
T0130,1/1/25 10:34,A12892,B61954,6849,Transfer,D832,190.67.183.11,Florida,1843.41,0,1,0,1,1
T0131,1/4/25 15:02,A31672,B21844,4666.67,Withdrawal,D509,252.30.232.22,California,3301.03,0,1,0,1,0
T0132,1/6/25 6:14,A15812,B84130,3367.83,Deposit,D254,160.7.189.123,California,1581.51,0,0,0,0,0
T0133,1/5/25 8:41,A10654,B23418,6191.9,Transfer,D379,240.79.14.168,Texas,1742.29,0,1,0,1,0
T0134,1/1/25 13:36,A64633,B44854,9778.49,Deposit,D578,103.179.153.77,New York,4063.88,0,1,0,1,0
T0135,1/4/25 12:08,A27143,B98644,4268.99,Deposit,D298,11.26.110.222,Florida,1798.72,0,1,0,1,0
T0136,1/4/25 1:31,A65934,B85955,3917.96,Deposit,D948,195.157.3.53,New York,3996,0,0,0,1,0
T0137,1/2/25 9:22,A77334,B98075,4643.2,Withdrawal,D852,94.161.195.83,New York,2616.11,0,1,0,0,0
T0138,1/6/25 6:36,A39087,B53950,763.11,Deposit,D516,183.145.174.199,New York,2917.84,0,1,0,1,1
T0139,1/6/25 7:59,A21618,B75227,5532.08,Withdrawal,D197,187.105.186.129,Florida,2037.65,0,1,0,0,0
T0140,1/2/25 13:09,A18446,B22835,3287.65,Deposit,D349,120.72.15.213,Florida,3195.93,0,0,0,1,0
T0141,1/2/25 10:32,A97182,B27533,1215.1,Deposit,D204,185.139.132.166,Texas,2326.22,0,1,0,1,0
T0142,1/3/25 1:47,A58867,B97858,4663.1,Transfer,D872,142.236.71.87,Texas,1698.26,0,1,0,0,0
T0143,1/2/25 13:52,A61028,B20223,34.84,Deposit,D740,242.146.100.244,Texas,1556.29,0,1,0,1,0
T0144,1/6/25 13:32,A70101,B20273,4018.45,Transfer,D426,81.84.48.122,Florida,4998.63,1,1,0,1,0
T0145,1/4/25 11:47,A37200,B43519,1058.25,Transfer,D989,38.77.142.122,Florida,2382.53,0,1,0,0,1
T0146,1/2/25 21:37,A98074,B34160,243.9,Withdrawal,D581,54.112.194.183,California,4219.7,0,1,0,0,0
T0147,1/1/25 3:53,A71465,B84385,8244.93,Transfer,D870,44.202.184.66,New York,2365.54,0,1,0,1,1
T0148,1/1/25 17:10,A96436,B58988,9162.57,Transfer,D903,221.5.69.158,Texas,3491.84,0,1,0,1,0
T0149,1/2/25 11:55,A97892,B20348,2077.54,Deposit,D476,21.84.165.101,California,4364.65,0,1,0,1,0
T0150,1/1/25 3:31,A98559,B93460,5393.44,Deposit,D751,57.197.156.183,Florida,3784.14,0,1,0,0,0
T0151,1/4/25 11:33,A49148,B77519,2780.3,Withdrawal,D114,109.138.175.85,California,1276.3,0,0,0,1,0
T0152,1/2/25 13:23,A92928,B24629,4936.28,Transfer,D795,59.178.166.133,California,1771.1,0,1,0,1,1
T0153,1/4/25 8:16,A30698,B59056,4366.88,Transfer,D580,29.106.216.227,Florida,4494.33,0,1,0,1,0
T0154,1/4/25 18:44,A52470,B21273,2691.24,Withdrawal,D115,128.85.8.172,New York,2884.89,0,1,0,1,0
T0155,1/2/25 5:01,A61660,B50416,7004.24,Deposit,D832,135.33.207.210,Florida,3393.88,0,0,0,1,0
T0156,1/3/25 2:55,A63910,B17894,1265.78,Transfer,D674,135.139.42.104,Texas,1097.81,0,1,0,1,0
T0157,1/4/25 7:06,A45450,B56073,531.67,Withdrawal,D852,55.30.169.160,California,2949.27,0,1,0,0,0
T0158,1/4/25 3:08,A66463,B55693,7676.99,Deposit,D584,18.252.218.215,Texas,2723.43,0,1,0,1,0
T0159,1/1/25 8:28,A43757,B61466,6659.63,Withdrawal,D378,112.219.182.3,California,3744.78,0,0,0,1,0
T0160,1/6/25 11:03,A88012,B34343,4985.76,Withdrawal,D432,11.214.83.103,California,2097.79,0,1,0,1,0
T0161,1/5/25 8:21,A80247,B53095,4678.43,Transfer,D356,155.245.249.57,Texas,3975.56,0,1,0,1,0
T0162,1/4/25 15:20,A82015,B41174,4974.62,Deposit,D284,252.47.119.123,California,3683.58,0,1,0,1,1
T0163,1/5/25 1:34,A41390,B60801,4370.8,Transfer,D687,0.104.202.43,Florida,3038.85,0,1,0,0,1
T0164,1/5/25 12:13,A66116,B82436,3929.53,Transfer,D126,62.94.232.37,Florida,2502.6,0,1,0,1,0
T0165,1/4/25 10:36,A23161,B79336,4997.41,Deposit,D124,252.8.5.69,California,2207.97,1,1,0,1,1
T0166,1/1/25 21:29,A42152,B52926,5285.62,Deposit,D953,252.51.66.95,California,3140.4,0,1,0,0,1
T0167,1/6/25 11:19,A90171,B82590,6919.33,Deposit,D161,98.143.129.35,Florida,3307.3,0,1,0,1,1
T0168,1/2/25 10:21,A30836,B48827,7112.36,Transfer,D757,104.198.34.119,New York,2792.53,0,1,0,1,0
T0169,1/6/25 15:59,A76543,B54775,3776.91,Deposit,D332,29.172.173.92,California,2282.3,0,1,1,1,1
T0170,1/6/25 12:44,A65648,B51201,4135.99,Deposit,D563,232.192.235.128,Florida,4519.6,0,1,0,0,0
T0171,1/6/25 6:49,A36331,B39373,3737.6,Deposit,D448,104.184.198.194,New York,2240.85,0,1,0,1,0
T0172,1/4/25 3:51,A20763,B37525,5365.82,Withdrawal,D385,255.99.102.30,New York,3688.66,0,1,0,0,0
T0173,1/1/25 6:48,A79444,B82651,4534.08,Deposit,D513,24.46.183.215,Texas,4619.3,0,1,0,1,1
T0174,1/5/25 6:50,A29187,B40486,8896.08,Transfer,D695,0.101.117.222,New York,3587.4,0,1,0,1,1
T0175,1/3/25 8:01,A21957,B88604,6963.92,Withdrawal,D786,164.202.112.194,California,2463.69,1,1,0,0,0
T0176,1/6/25 16:27,A14379,B28640,8986.67,Transfer,D505,139.19.29.201,New York,2188.83,0,0,0,1,0
T0177,1/5/25 8:16,A37959,B71455,7091.66,Withdrawal,D480,230.191.78.127,Texas,4413.61,0,1,0,0,0
T0178,1/2/25 14:39,A92018,B46136,9709.95,Deposit,D269,84.63.17.31,Florida,2959.83,0,1,0,1,0
T0179,1/6/25 11:15,A37105,B72425,6357.73,Withdrawal,D389,146.252.93.32,Texas,3373.47,1,0,0,1,0
T0180,1/2/25 19:58,A10877,B66539,9635.54,Transfer,D615,189.149.108.156,Florida,3385.2,0,1,0,1,0
T0181,1/3/25 3:07,A58353,B91664,1582.54,Withdrawal,D386,215.3.177.203,California,3135.21,0,1,0,1,1
T0182,1/3/25 11:27,A93788,B34942,525.72,Deposit,D406,99.121.131.4,Florida,4725.31,0,1,0,1,0
T0183,1/6/25 23:08,A94585,B78363,5791.67,Deposit,D661,210.232.166.56,New York,4724.14,1,1,0,1,0
T0184,1/2/25 3:26,A93308,B68596,9834.95,Transfer,D881,30.6.11.9,Florida,1161.69,0,1,0,1,0
T0185,1/5/25 15:08,A61567,B91526,4176.63,Withdrawal,D107,156.243.212.140,New York,3022.66,0,0,0,1,1
T0186,1/5/25 7:38,A67913,B45255,2121.22,Transfer,D456,214.126.197.158,Texas,3262.27,0,1,0,1,0
T0187,1/2/25 1:16,A12637,B72129,5215.89,Transfer,D680,136.178.87.143,Texas,4702.23,0,1,0,1,0
T0188,1/2/25 9:47,A82778,B95523,6488.34,Transfer,D238,186.185.10.163,Florida,1278.63,0,1,0,1,0
T0189,1/2/25 9:06,A52025,B72286,3152.47,Deposit,D610,248.0.20.171,Texas,4156.3,0,1,0,0,0
T0190,1/5/25 13:17,A92464,B96437,7147.98,Withdrawal,D347,99.164.5.141,Texas,3569.67,0,1,0,0,0
T0191,1/3/25 12:35,A38742,B26277,9751.17,Deposit,D640,92.128.135.110,Texas,3930,0,1,0,1,0
T0192,1/3/25 12:49,A21831,B11643,8969.73,Deposit,D282,43.122.210.86,New York,2166.82,0,0,1,1,0
T0193,1/2/25 10:00,A95092,B33729,2916.56,Deposit,D824,102.104.74.154,Florida,3986.45,0,1,0,1,0
T0194,1/1/25 6:30,A98370,B96623,3267.91,Withdrawal,D522,246.251.231.35,New York,2130.69,0,0,0,1,0
T0195,1/6/25 3:17,A56762,B31818,3716.04,Deposit,D496,169.147.233.7,Florida,3702.67,0,1,0,1,0
T0196,1/3/25 22:26,A98741,B75555,3946.13,Deposit,D931,45.99.252.51,New York,4148.09,0,1,0,1,0
T0197,1/3/25 20:08,A28830,B63629,1004.09,Deposit,D404,25.34.187.130,California,4133.23,0,1,0,1,0
T0198,1/1/25 13:53,A65044,B65438,7619.87,Withdrawal,D118,122.131.235.220,California,3177.49,0,1,0,1,1
T0199,1/3/25 21:02,A83948,B19457,3654.03,Withdrawal,D482,61.63.177.219,California,2654.27,0,1,0,1,0
T0200,1/2/25 9:54,A79202,B69629,8798.32,Transfer,D325,146.170.219.81,New York,1974.22,0,0,0,1,0
T0201,1/2/25 5:44,A47045,B43922,9269.48,Deposit,D329,13.234.13.53,Florida,1133.98,0,1,0,0,1
T0202,1/3/25 3:29,A96322,B19820,245.29,Deposit,D950,156.130.97.200,New York,1195.58,0,1,0,0,0
T0203,1/2/25 6:44,A81051,B42750,9885.04,Withdrawal,D707,103.4.220.232,Florida,2674.06,0,1,0,0,0
T0204,1/5/25 1:14,A36627,B47790,7100.52,Withdrawal,D594,4.116.44.191,California,1379.75,0,1,0,0,0
T0205,1/5/25 18:15,A25198,B98405,5204.4,Deposit,D583,191.170.170.115,New York,1447.85,0,0,0,1,0
T0206,1/3/25 10:43,A79521,B44421,3895.89,Transfer,D726,235.50.12.217,Florida,1778.81,0,1,0,1,0
T0207,1/2/25 5:24,A39475,B78038,5185.66,Transfer,D458,72.67.230.222,Florida,2925.23,0,1,0,0,0
T0208,1/3/25 8:23,A29403,B92201,3246.92,Deposit,D791,68.134.91.103,Texas,3367,0,1,0,1,0
T0209,1/6/25 4:47,A13681,B72325,6227.26,Transfer,D472,77.215.169.101,Florida,3777.07,0,1,0,0,0
T0210,1/3/25 7:04,A52292,B35600,930.71,Transfer,D177,4.174.47.122,California,2944.88,0,1,0,1,0
T0211,1/3/25 21:10,A15629,B39394,6211.6,Deposit,D426,225.91.174.135,New York,3658.95,0,1,0,0,0
T0212,1/3/25 21:33,A87814,B89622,2754.17,Transfer,D375,148.87.117.23,Texas,4448.43,0,1,0,0,0
T0213,1/2/25 21:48,A18417,B46171,177.33,Withdrawal,D451,140.112.142.248,California,2496.65,0,0,0,1,0
T0214,1/6/25 4:43,A44765,B71526,5527.5,Deposit,D977,109.88.242.108,New York,3752.96,0,1,0,0,0
T0215,1/4/25 18:12,A84499,B23149,5784.9,Withdrawal,D281,52.219.230.199,New York,3634.02,1,1,0,1,0
T0216,1/6/25 11:55,A66574,B40394,4266.26,Deposit,D604,158.198.50.254,Texas,3545.98,0,0,1,1,0
T0217,1/4/25 21:46,A37675,B24396,723.79,Withdrawal,D706,174.166.208.116,California,3333.98,0,1,0,1,1
T0218,1/5/25 2:46,A82267,B33324,8933.54,Transfer,D697,56.177.114.56,New York,3904.63,0,1,0,1,0
T0219,1/5/25 9:33,A50563,B57198,6114.7,Withdrawal,D488,34.247.85.134,Texas,4274.17,0,1,0,0,0
T0220,1/5/25 19:25,A21332,B92705,1158.02,Withdrawal,D706,52.9.219.38,New York,2568.52,0,0,0,1,1
T0221,1/1/25 12:06,A29177,B41016,5109.79,Withdrawal,D434,185.234.249.220,New York,3619.05,0,1,0,1,0
T0222,1/5/25 7:09,A99254,B13194,4973.05,Withdrawal,D545,162.126.58.116,California,1994.04,0,1,0,1,1
T0223,1/1/25 17:47,A78447,B42398,604.96,Withdrawal,D608,149.136.255.99,California,4024.02,0,0,0,1,0
